<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CDR,D,19940802,000000,7.96495,7.96495,7.96495,7.96495,360791.04457119,0
CDR,D,19940803,000000,8.74827,8.74827,8.74827,8.74827,338013.52600578,0
CDR,D,19940804,000000,9.61583,9.61583,9.61583,9.61583,369511.0606607,0
CDR,D,19940808,000000,8.74827,8.74827,8.74827,8.74827,274010.16379159,0
CDR,D,19940809,000000,10.3255,10.3255,10.3255,10.3255,140779.10809234,0
CDR,D,19940810,000000,9.73955,9.73955,9.73955,9.73955,162422.04456199,0
CDR,D,19940811,000000,9.5406,9.5406,9.5406,9.5406,132885.52847151,0
CDR,D,19940816,000000,10.1365,10.1365,10.1365,10.1365,84649.119228349,0
CDR,D,19940817,000000,10.6452,10.6452,10.6452,10.6452,85708.938122788,0
CDR,D,19940818,000000,9.57821,9.57821,9.57821,9.57821,56696.774755105,0
CDR,D,19940822,000000,9.9385,9.9385,9.9385,9.9385,109159.32550011,0
CDR,D,19940823,000000,9.14459,9.14459,9.14459,9.14459,71133.14480528,0
CDR,D,19940824,000000,8.94633,8.94633,8.94633,8.94633,78985.301571321,0
CDR,D,19940825,000000,8.04057,8.04057,8.04057,8.04057,66586.73391398,0
CDR,D,19940829,000000,8.71046,8.71046,8.71046,8.71046,92248.69761154,0
CDR,D,19940830,000000,8.67275,8.67275,8.67275,8.67275,59854.00454073,0
CDR,D,19940831,000000,8.16311,8.16311,8.16311,8.16311,48600.122114466,0
CDR,D,19940901,000000,7.96495,7.96495,7.96495,7.96495,70832.071372923,0
CDR,D,19940905,000000,7.56854,7.56854,7.56854,7.56854,44808.415431121,0
CDR,D,19940906,000000,6.80422,6.80422,6.80422,6.80422,39226.433170136,0
CDR,D,19940907,000000,6.13414,6.13414,6.13414,6.13414,162983.77888545,0
CDR,D,19940908,000000,6.7193,6.7193,6.7193,6.7193,90209.884905175,0
CDR,D,19940912,000000,7.37048,7.37048,7.37048,7.37048,112969.21782702,0
CDR,D,19940913,000000,6.64378,6.64378,6.64378,6.64378,170020.61263165,0
CDR,D,19940914,000000,6.75701,6.75701,6.75701,6.75701,70501.698848155,0
CDR,D,19940915,000000,6.62487,6.62487,6.62487,6.62487,40884.357675164,0
CDR,D,19940919,000000,6.60607,6.60607,6.60607,6.60607,57078.673269974,0
CDR,D,19940920,000000,5.95479,5.95479,5.95479,5.95479,65751.204623512,0
CDR,D,19940921,000000,5.41693,5.41693,5.41693,5.41693,93195.361390462,0
CDR,D,19940922,000000,5.63389,5.63389,5.63389,5.63389,82469.872941119,0
CDR,D,19940926,000000,5.48295,5.48295,5.48295,5.48295,51857.372939699,0
CDR,D,19940927,000000,5.08674,5.08674,5.08674,5.08674,58747.711223847,0
CDR,D,19940928,000000,5.08674,5.08674,5.08674,5.08674,105851.55899831,0
CDR,D,19940929,000000,5.37922,5.37922,5.37922,5.37922,53101.068896853,0
CDR,D,19941003,000000,5.91707,5.91707,5.91707,5.91707,108670.33375092,0
CDR,D,19941004,000000,5.97379,5.97379,5.97379,5.97379,128678.58292676,0
CDR,D,19941005,000000,6.56826,6.56826,6.56826,6.56826,83292.268155679,0
CDR,D,19941006,000000,6.46453,6.46453,6.46453,6.46453,103797.59158897,0
CDR,D,19941007,000000,6.58716,6.58716,6.58716,6.58716,85245.204211875,0
CDR,D,19941010,000000,6.46453,6.46453,6.46453,6.46453,54222.516916707,0
CDR,D,19941011,000000,6.17195,6.17195,6.17195,6.17195,56557.351487772,0
CDR,D,19941012,000000,6.17195,6.17195,6.17195,6.17195,50087.303632686,0
CDR,D,19941013,000000,5.55847,5.55847,5.55847,5.55847,91282.837875521,0
CDR,D,19941014,000000,6.08702,6.08702,6.08702,6.08702,131521.60520412,0
CDR,D,19941017,000000,6.3701,6.3701,6.3701,6.3701,94588.583750262,0
CDR,D,19941018,000000,6.56826,6.56826,6.56826,6.56826,93294.372116539,0
CDR,D,19941019,000000,6.46453,6.46453,6.46453,6.46453,45906.626239753,0
CDR,D,19941020,000000,6.3513,6.3513,6.3513,6.3513,122344.92739841,0
CDR,D,19941021,000000,6.03041,6.03041,6.03041,6.03041,62207.024755361,0
